Function,CPU Time,CPU Time:Effective Time,CPU Time:Effective Time:Idle,CPU Time:Effective Time:Poor,CPU Time:Effective Time:Ok,CPU Time:Effective Time:Ideal,CPU Time:Effective Time:Over,CPU Time:Spin Time,CPU Time:Overhead Time,Instructions Retired,CPI Rate,CPU Frequency Ratio,Module,Function (Full),Source File,Start Address
[Loop at line 4015 in gwce_new],4.445420,4.445420,0.001002,4.444418,0.0,0.0,0.0,0.0,0.0,25862500000,0.430256,1.003608,adcirc_og,[Loop at line 4015 in gwce_new],timestep.F,0x4c2b82
[Loop at line 5354 in mom_eqs_new_nc],1.894441,1.894441,0.0,1.894441,0.0,0.0,0.0,0.0,0.0,11795000000,0.399534,0.997354,adcirc_og,[Loop at line 5354 in mom_eqs_new_nc],timestep.F,0x4d7602
[Loop at line 1939 in pjac],1.149695,1.149695,0.0,1.149695,0.0,0.0,0.0,0.0,0.0,5927500000,0.483762,1.000000,adcirc_og,[Loop at line 1939 in pjac],itpackv.F,0x521b71
[Outside any loop],1.118622,1.118622,0.011026,1.107596,0.0,0.0,0.0,0.0,0.0,4452500000,0.612577,0.977599,[Unknown],[Outside any loop],[Unknown],0x0
[Loop at line 3149 in timestep],0.280658,0.280658,0.0,0.280658,0.0,0.0,0.0,0.0,0.0,845000000,0.745562,0.900000,adcirc_og,[Loop at line 3149 in timestep],timestep.F,0x4aac39
[Loop at line 1435 in apply2dbottomfriction],0.211496,0.211496,0.0,0.211496,0.0,0.0,0.0,0.0,0.0,635000000,0.909449,1.094787,adcirc_og,[Loop at line 1435 in apply2dbottomfriction],nodalattr.F,0x51a1d8
[Loop at line 2826 in sdot],0.201472,0.201472,0.0,0.201472,0.0,0.0,0.0,0.0,0.0,630000000,0.797619,1.000000,adcirc_og,[Loop at line 2826 in sdot],itpackv.F,0x521ffe
[Loop at line 2826 in sdot],0.183430,0.183430,0.0,0.183430,0.0,0.0,0.0,0.0,0.0,502500000,0.880597,0.967213,adcirc_og,[Loop at line 2826 in sdot],itpackv.F,0x522076
[Loop at line 2826 in sdot],0.181425,0.181425,0.0,0.181425,0.0,0.0,0.0,0.0,0.0,602500000,0.709544,0.944751,adcirc_og,[Loop at line 2826 in sdot],itpackv.F,0x5220ef
[Loop at line 5697 in mom_eqs_new_nc],0.169397,0.169397,0.0,0.169397,0.0,0.0,0.0,0.0,0.0,1207500000,0.345756,0.988166,adcirc_og,[Loop at line 5697 in mom_eqs_new_nc],timestep.F,0x4d8aa1
[Loop at line 567 in itjcg],0.150352,0.150352,0.0,0.150352,0.0,0.0,0.0,0.0,0.0,1002500000,0.389027,1.040000,adcirc_og,[Loop at line 567 in itjcg],itpackv.F,0x5224a0
[Loop at line 5672 in mom_eqs_new_nc],0.136320,0.136320,0.0,0.136320,0.0,0.0,0.0,0.0,0.0,827500000,0.438066,1.066176,adcirc_og,[Loop at line 5672 in mom_eqs_new_nc],timestep.F,0x4d85b6
[Loop at line 2391 in scal],0.132310,0.132310,0.0,0.132310,0.0,0.0,0.0,0.0,0.0,497500000,0.633166,0.954545,adcirc_og,[Loop at line 2391 in scal],itpackv.F,0x526aad
[Loop at line 2826 in sdot],0.127298,0.127298,0.001002,0.126296,0.0,0.0,0.0,0.0,0.0,447500000,0.743017,1.047244,adcirc_og,[Loop at line 2826 in sdot],itpackv.F,0x521f6a
[Loop at line 1977 in pmult],0.123289,0.123289,0.0,0.123289,0.0,0.0,0.0,0.0,0.0,530000000,0.547170,0.943089,adcirc_og,[Loop at line 1977 in pmult],itpackv.F,0x5274d7
[Loop at line 2826 in sdot],0.122287,0.122287,0.0,0.122287,0.0,0.0,0.0,0.0,0.0,347500000,0.906475,1.032787,adcirc_og,[Loop at line 2826 in sdot],itpackv.F,0x521ef5
[Loop at line 1939 in pjac],0.105247,0.105247,0.0,0.105247,0.0,0.0,0.0,0.0,0.0,602500000,0.443983,1.019048,adcirc_og,[Loop at line 1939 in pjac],itpackv.F,0x51e718
[Loop at line 2442 in unscal],0.103242,0.103242,0.0,0.103242,0.0,0.0,0.0,0.0,0.0,562500000,0.520000,1.135922,adcirc_og,[Loop at line 2442 in unscal],itpackv.F,0x51f16c
[Loop at line 4328 in gwce_new],0.097228,0.097228,0.0,0.097228,0.0,0.0,0.0,0.0,0.0,525000000,0.400000,0.865979,adcirc_og,[Loop at line 4328 in gwce_new],timestep.F,0x4c4710
[Loop at line 295 in timestep],0.092216,0.092216,0.0,0.092216,0.0,0.0,0.0,0.0,0.0,462500000,0.502703,1.010870,adcirc_og,[Loop at line 295 in timestep],timestep.F,0x4a72c0
[Loop at line 5910 in mom_eqs_new_nc],0.062146,0.062146,0.0,0.062146,0.0,0.0,0.0,0.0,0.0,430000000,0.360465,1.000000,adcirc_og,[Loop at line 5910 in mom_eqs_new_nc],timestep.F,0x4d917b
[Loop at line 2365 in scal],0.038089,0.038089,0.0,0.038089,0.0,0.0,0.0,0.0,0.0,310000000,0.370968,1.210526,adcirc_og,[Loop at line 2365 in scal],itpackv.F,0x52634c
[Loop at line 3321 in timestep],0.037087,0.037087,0.0,0.037087,0.0,0.0,0.0,0.0,0.0,170000000,0.558824,1.027027,adcirc_og,[Loop at line 3321 in timestep],timestep.F,0x4ab6b4
[Loop at line 2312 in scal],0.035082,0.035082,0.0,0.035082,0.0,0.0,0.0,0.0,0.0,257500000,0.368932,1.085714,adcirc_og,[Loop at line 2312 in scal],itpackv.F,0x52603e
[Loop at line 2373 in scal],0.034080,0.034080,0.0,0.034080,0.0,0.0,0.0,0.0,0.0,37500000,1.466667,0.647059,adcirc_og,[Loop at line 2373 in scal],itpackv.F,0x526430
[Loop at line 2826 in sdot],0.033078,0.033078,0.0,0.033078,0.0,0.0,0.0,0.0,0.0,82500000,0.969697,0.969697,adcirc_og,[Loop at line 2826 in sdot],itpackv.F,0x527984
[Loop@0x6819e1 in __intel_avx_rep_memset],0.031073,0.031073,0.0,0.031073,0.0,0.0,0.0,0.0,0.0,70000000,0.750000,0.677419,adcirc_og,[Loop@0x6819e1 in __intel_avx_rep_memset],[Unknown],0x6819e1
[Loop at line 2826 in sdot],0.028066,0.028066,0.0,0.028066,0.0,0.0,0.0,0.0,0.0,72500000,1.068966,1.107143,adcirc_og,[Loop at line 2826 in sdot],itpackv.F,0x52729b
