Function,CPU Time,CPU Time:Effective Time,CPU Time:Effective Time:Idle,CPU Time:Effective Time:Poor,CPU Time:Effective Time:Ok,CPU Time:Effective Time:Ideal,CPU Time:Effective Time:Over,CPU Time:Spin Time,CPU Time:Overhead Time,Instructions Retired,CPI Rate,CPU Frequency Ratio,Module,Function (Full),Source File,Start Address
[Loop at line 4015 in gwce_new],408.640854,408.640854,0.002005,408.638850,0.0,0.0,0.0,0.0,0.0,1650050000000,0.617607,0.999877,adcirc_og,[Loop at line 4015 in gwce_new],timestep.F,0x4c2b82
[Loop at line 5354 in mom_eqs_new_nc],227.710754,227.710754,0.001002,227.709752,0.0,0.0,0.0,0.0,0.0,755532500000,0.751814,1.000136,adcirc_og,[Loop at line 5354 in mom_eqs_new_nc],timestep.F,0x4d7602
[Loop at line 1939 in pjac],166.985414,166.985414,0.001002,166.984412,0.0,0.0,0.0,0.0,0.0,348207500000,1.195516,0.999526,adcirc_og,[Loop at line 1939 in pjac],itpackv.F,0x521b71
[Outside any loop],70.022132,70.022132,0.105247,69.916885,0.0,0.0,0.0,0.0,0.0,257275000000,0.680303,1.002176,[Unknown],[Outside any loop],[Unknown],0x0
[Loop at line 3149 in timestep],31.370533,31.370533,0.0,31.370533,0.0,0.0,0.0,0.0,0.0,53240000000,1.471168,1.001054,adcirc_og,[Loop at line 3149 in timestep],timestep.F,0x4aac39
[Loop at line 1939 in pjac],20.640381,20.640381,0.0,20.640381,0.0,0.0,0.0,0.0,0.0,35005000000,1.470861,1.000146,adcirc_og,[Loop at line 1939 in pjac],itpackv.F,0x51e718
[Loop at line 2391 in scal],19.236089,19.236089,0.0,19.236089,0.0,0.0,0.0,0.0,0.0,33292500000,1.439964,0.999218,adcirc_og,[Loop at line 2391 in scal],itpackv.F,0x526aad
[Loop at line 5697 in mom_eqs_new_nc],17.350670,17.350670,0.0,17.350670,0.0,0.0,0.0,0.0,0.0,74267500000,0.582826,1.000231,adcirc_og,[Loop at line 5697 in mom_eqs_new_nc],timestep.F,0x4d8aa1
[Loop at line 1977 in pmult],16.975791,16.975791,0.0,16.975791,0.0,0.0,0.0,0.0,0.0,34992500000,1.209688,0.999764,adcirc_og,[Loop at line 1977 in pmult],itpackv.F,0x5274d7
[Loop at line 567 in itjcg],16.436527,16.436527,0.0,16.436527,0.0,0.0,0.0,0.0,0.0,58665000000,0.700588,1.002561,adcirc_og,[Loop at line 567 in itjcg],itpackv.F,0x5224a0
[Loop at line 1435 in apply2dbottomfriction],14.630293,14.630293,0.0,14.630293,0.0,0.0,0.0,0.0,0.0,45930000000,0.794960,1.000617,adcirc_og,[Loop at line 1435 in apply2dbottomfriction],nodalattr.F,0x51a1d8
[Loop at line 5672 in mom_eqs_new_nc],14.408774,14.408774,0.0,14.408774,0.0,0.0,0.0,0.0,0.0,52792500000,0.678600,0.996870,adcirc_og,[Loop at line 5672 in mom_eqs_new_nc],timestep.F,0x4d85b6
[Loop at line 2442 in unscal],14.055947,14.055947,0.0,14.055947,0.0,0.0,0.0,0.0,0.0,32832500000,1.069672,1.001783,adcirc_og,[Loop at line 2442 in unscal],itpackv.F,0x51f16c
[Loop at line 2826 in sdot],12.693754,12.693754,0.0,12.693754,0.0,0.0,0.0,0.0,0.0,34255000000,0.919939,0.995341,adcirc_og,[Loop at line 2826 in sdot],itpackv.F,0x522076
[Loop at line 2826 in sdot],12.691749,12.691749,0.0,12.691749,0.0,0.0,0.0,0.0,0.0,34367500000,0.915618,0.994077,adcirc_og,[Loop at line 2826 in sdot],itpackv.F,0x5220ef
[Loop at line 2826 in sdot],12.666691,12.666691,0.0,12.666691,0.0,0.0,0.0,0.0,0.0,34447500000,0.922563,1.005935,adcirc_og,[Loop at line 2826 in sdot],itpackv.F,0x521ffe
[Loop at line 295 in timestep],11.757560,11.757560,0.033078,11.724482,0.0,0.0,0.0,0.0,0.0,29427500000,0.995837,0.999318,adcirc_og,[Loop at line 295 in timestep],timestep.F,0x4a72c0
[Loop at line 2826 in sdot],8.092970,8.092970,0.0,8.092970,0.0,0.0,0.0,0.0,0.0,20172500000,0.983517,0.982908,adcirc_og,[Loop at line 2826 in sdot],itpackv.F,0x521ef5
[Loop at line 2826 in sdot],7.961662,7.961662,0.0,7.961662,0.0,0.0,0.0,0.0,0.0,20107500000,1.011439,1.024172,adcirc_og,[Loop at line 2826 in sdot],itpackv.F,0x521f6a
[Loop at line 4328 in gwce_new],7.572751,7.572751,0.0,7.572751,0.0,0.0,0.0,0.0,0.0,33042500000,0.564046,0.986764,adcirc_og,[Loop at line 4328 in gwce_new],timestep.F,0x4c4710
[Loop at line 5910 in mom_eqs_new_nc],4.966642,4.966642,0.0,4.966642,0.0,0.0,0.0,0.0,0.0,26157500000,0.475007,1.003027,adcirc_og,[Loop at line 5910 in mom_eqs_new_nc],timestep.F,0x4d917b
[Loop at line 2365 in scal],4.845358,4.845358,0.0,4.845358,0.0,0.0,0.0,0.0,0.0,19662500000,0.611316,0.994621,adcirc_og,[Loop at line 2365 in scal],itpackv.F,0x52634c
[Loop at line 5961 in mom_eqs_new_nc],3.609461,3.609461,0.0,3.609461,0.0,0.0,0.0,0.0,0.0,5165000000,1.742498,0.999722,adcirc_og,[Loop at line 5961 in mom_eqs_new_nc],timestep.F,0x4d9326
[Loop at line 3321 in timestep],2.159061,2.159061,0.0,2.159061,0.0,0.0,0.0,0.0,0.0,12060000000,0.451907,1.012071,adcirc_og,[Loop at line 3321 in timestep],timestep.F,0x4ab6ee
[Loop at line 2451 in unscal],2.081880,2.081880,0.0,2.081880,0.0,0.0,0.0,0.0,0.0,19582500000,0.259415,0.978334,adcirc_og,[Loop at line 2451 in unscal],itpackv.F,0x51f4ac
[Loop at line 2312 in scal],2.079875,2.079875,0.0,2.079875,0.0,0.0,0.0,0.0,0.0,15240000000,0.336450,0.988434,adcirc_og,[Loop at line 2312 in scal],itpackv.F,0x52603e
[Loop at line 1570 in timestep],2.003697,2.003697,0.0,2.003697,0.0,0.0,0.0,0.0,0.0,1037500000,4.927711,1.023012,adcirc_og,[Loop at line 1570 in timestep],timestep.F,0x4a9740
[Loop at line 2826 in sdot],1.975631,1.975631,0.0,1.975631,0.0,0.0,0.0,0.0,0.0,5465000000,0.902562,1.001015,adcirc_og,[Loop at line 2826 in sdot],itpackv.F,0x527984
[Loop at line 2826 in sdot],1.960596,1.960596,0.0,1.960596,0.0,0.0,0.0,0.0,0.0,5495000000,0.876251,0.984663,adcirc_og,[Loop at line 2826 in sdot],itpackv.F,0x52729b
[Loop at line 3321 in timestep],1.798215,1.798215,0.0,1.798215,0.0,0.0,0.0,0.0,0.0,9812500000,0.443057,0.969342,adcirc_og,[Loop at line 3321 in timestep],timestep.F,0x4ab6b4
[Loop at line 4557 in gwce_new],1.748098,1.748098,0.0,1.748098,0.0,0.0,0.0,0.0,0.0,2385000000,1.840671,1.006881,adcirc_og,[Loop at line 4557 in gwce_new],timestep.F,0x4c5469
[Loop at line 4341 in gwce_new],1.739076,1.739076,0.0,1.739076,0.0,0.0,0.0,0.0,0.0,5435000000,0.850966,1.066282,adcirc_og,[Loop at line 4341 in gwce_new],timestep.F,0x4c481a
[Loop at line 2373 in scal],1.534597,1.534597,0.0,1.534597,0.0,0.0,0.0,0.0,0.0,1280000000,3.025391,1.011757,adcirc_og,[Loop at line 2373 in scal],itpackv.F,0x526430
[Loop at line 5672 in mom_eqs_new_nc],1.397275,1.397275,0.0,1.397275,0.0,0.0,0.0,0.0,0.0,5095000000,0.680569,0.994978,adcirc_og,[Loop at line 5672 in mom_eqs_new_nc],timestep.F,0x4d84a6
[Loop at line 659 in peror],1.344151,1.344151,0.0,1.344151,0.0,0.0,0.0,0.0,0.0,2050000000,1.650000,1.008949,adcirc_og,[Loop at line 659 in peror],itpackv.F,0x527803
