Function,CPU Time,CPU Time:Effective Time,CPU Time:Effective Time:Idle,CPU Time:Effective Time:Poor,CPU Time:Effective Time:Ok,CPU Time:Effective Time:Ideal,CPU Time:Effective Time:Over,CPU Time:Spin Time,CPU Time:Overhead Time,Instructions Retired,CPI Rate,CPU Frequency Ratio,Module,Function (Full),Source File,Start Address
[Loop at line 4015 in gwce_new],1382.404356,1382.404356,0.002005,1382.402352,0.0,0.0,0.0,0.0,0.0,3604132500000,0.956593,0.999935,adcirc_og,[Loop at line 4015 in gwce_new],timestep.F,0x4c2b82
[Loop at line 5354 in mom_eqs_new_nc],722.142703,722.142703,0.0,722.142703,0.0,0.0,0.0,0.0,0.0,1650235000000,1.091487,1.000047,adcirc_og,[Loop at line 5354 in mom_eqs_new_nc],timestep.F,0x4d7602
[Loop at line 1939 in pjac],560.229177,560.229177,0.0,560.229177,0.0,0.0,0.0,0.0,0.0,846752500000,1.650163,0.999993,adcirc_og,[Loop at line 1939 in pjac],itpackv.F,0x521b71
[Outside any loop],157.909139,157.909139,0.218512,157.690627,0.0,0.0,0.0,0.0,0.0,566770000000,0.697267,1.003409,[Unknown],[Outside any loop],[Unknown],0x0
[Loop at line 3149 in timestep],74.980755,74.980755,0.0,74.980755,0.0,0.0,0.0,0.0,0.0,112937500000,1.654920,0.999412,adcirc_og,[Loop at line 3149 in timestep],timestep.F,0x4aac39
[Loop at line 567 in itjcg],71.061568,71.061568,0.0,71.061568,0.0,0.0,0.0,0.0,0.0,144237500000,1.226137,0.997842,adcirc_og,[Loop at line 567 in itjcg],itpackv.F,0x5224a0
[Loop at line 1939 in pjac],51.828486,51.828486,0.0,51.828486,0.0,0.0,0.0,0.0,0.0,76170000000,1.695746,0.999207,adcirc_og,[Loop at line 1939 in pjac],itpackv.F,0x51e718
[Loop at line 1977 in pmult],51.033623,51.033623,0.0,51.033623,0.0,0.0,0.0,0.0,0.0,76120000000,1.674034,1.001120,adcirc_og,[Loop at line 1977 in pmult],itpackv.F,0x5274d7
[Loop at line 2391 in scal],46.398759,46.398759,0.0,46.398759,0.0,0.0,0.0,0.0,0.0,72365000000,1.598666,0.999676,adcirc_og,[Loop at line 2391 in scal],itpackv.F,0x526aad
[Loop at line 5697 in mom_eqs_new_nc],46.363676,46.363676,0.0,46.363676,0.0,0.0,0.0,0.0,0.0,161605000000,0.716547,1.001384,adcirc_og,[Loop at line 5697 in mom_eqs_new_nc],timestep.F,0x4d8aa1
