Function,CPU Time,CPU Time:Effective Time,CPU Time:Effective Time:Idle,CPU Time:Effective Time:Poor,CPU Time:Effective Time:Ok,CPU Time:Effective Time:Ideal,CPU Time:Effective Time:Over,CPU Time:Spin Time,CPU Time:Overhead Time,Instructions Retired,CPI Rate,CPU Frequency Ratio,Module,Function (Full),Source File,Start Address
[Loop at line 4015 in gwce_new],82.914351,82.914351,0.0,82.914351,0.0,0.0,0.0,0.0,0.0,412490000000,0.501079,0.999468,adcirc_og,[Loop at line 4015 in gwce_new],timestep.F,0x4c2b82
[Loop at line 5354 in mom_eqs_new_nc],36.277033,36.277033,0.0,36.277033,0.0,0.0,0.0,0.0,0.0,188950000000,0.479227,1.000774,adcirc_og,[Loop at line 5354 in mom_eqs_new_nc],timestep.F,0x4d7602
[Loop at line 1939 in pjac],23.475025,23.475025,0.0,23.475025,0.0,0.0,0.0,0.0,0.0,89072500000,0.657386,1.000085,adcirc_og,[Loop at line 1939 in pjac],itpackv.F,0x521b71
[Outside any loop],16.723199,16.723199,0.055129,16.668070,0.0,0.0,0.0,0.0,0.0,65267500000,0.644310,1.008211,[Unknown],[Outside any loop],[Unknown],0x0
[Loop at line 3149 in timestep],7.765202,7.765202,0.0,7.765202,0.0,0.0,0.0,0.0,0.0,13417500000,1.425377,0.987479,adcirc_og,[Loop at line 3149 in timestep],timestep.F,0x4aac39
[Loop at line 5697 in mom_eqs_new_nc],4.384277,4.384277,0.0,4.384277,0.0,0.0,0.0,0.0,0.0,18620000000,0.588077,1.001372,adcirc_og,[Loop at line 5697 in mom_eqs_new_nc],timestep.F,0x4d8aa1
[Loop at line 567 in itjcg],3.788881,3.788881,0.0,3.788881,0.0,0.0,0.0,0.0,0.0,14917500000,0.648567,1.023810,adcirc_og,[Loop at line 567 in itjcg],itpackv.F,0x5224a0
[Loop at line 1435 in apply2dbottomfriction],3.571371,3.571371,0.003007,3.568364,0.0,0.0,0.0,0.0,0.0,10927500000,0.772592,0.947797,adcirc_og,[Loop at line 1435 in apply2dbottomfriction],nodalattr.F,0x51a1d8
[Loop at line 295 in timestep],2.852687,2.852687,0.0,2.852687,0.0,0.0,0.0,0.0,0.0,7425000000,0.992256,1.035488,adcirc_og,[Loop at line 295 in timestep],timestep.F,0x4a72c0
[Loop at line 5672 in mom_eqs_new_nc],2.801567,2.801567,0.0,2.801567,0.0,0.0,0.0,0.0,0.0,13170000000,0.513288,0.967442,adcirc_og,[Loop at line 5672 in mom_eqs_new_nc],timestep.F,0x4d85b6
[Loop at line 2826 in sdot],2.791543,2.791543,0.0,2.791543,0.0,0.0,0.0,0.0,0.0,8602500000,0.809067,0.999641,adcirc_og,[Loop at line 2826 in sdot],itpackv.F,0x522076
[Loop at line 2826 in sdot],2.766485,2.766485,0.0,2.766485,0.0,0.0,0.0,0.0,0.0,8660000000,0.798499,1.002174,adcirc_og,[Loop at line 2826 in sdot],itpackv.F,0x5220ef
[Loop at line 2826 in sdot],2.761473,2.761473,0.0,2.761473,0.0,0.0,0.0,0.0,0.0,8660000000,0.802252,1.008711,adcirc_og,[Loop at line 2826 in sdot],itpackv.F,0x521ffe
[Loop at line 1939 in pjac],2.654221,2.654221,0.0,2.654221,0.0,0.0,0.0,0.0,0.0,8790000000,0.749431,0.995091,adcirc_og,[Loop at line 1939 in pjac],itpackv.F,0x51e718
[Loop at line 1977 in pmult],2.470792,2.470792,0.0,2.470792,0.0,0.0,0.0,0.0,0.0,8822500000,0.726835,1.040568,adcirc_og,[Loop at line 1977 in pmult],itpackv.F,0x5274d7
[Loop at line 2391 in scal],1.864370,1.864370,0.0,1.864370,0.0,0.0,0.0,0.0,0.0,8417500000,0.544699,0.986022,adcirc_og,[Loop at line 2391 in scal],itpackv.F,0x526aad
[Loop at line 2442 in unscal],1.808239,1.808239,0.0,1.808239,0.0,0.0,0.0,0.0,0.0,8225000000,0.513678,0.936807,adcirc_og,[Loop at line 2442 in unscal],itpackv.F,0x51f16c
[Loop at line 2826 in sdot],1.721034,1.721034,0.0,1.721034,0.0,0.0,0.0,0.0,0.0,5197500000,0.819144,0.991846,adcirc_og,[Loop at line 2826 in sdot],itpackv.F,0x521ef5
[Loop at line 2826 in sdot],1.619797,1.619797,0.0,1.619797,0.0,0.0,0.0,0.0,0.0,5167500000,0.773585,0.989480,adcirc_og,[Loop at line 2826 in sdot],itpackv.F,0x521f6a
[Loop at line 4328 in gwce_new],1.381238,1.381238,0.0,1.381238,0.0,0.0,0.0,0.0,0.0,8180000000,0.439181,1.042816,adcirc_og,[Loop at line 4328 in gwce_new],timestep.F,0x4c4710
[Loop at line 5910 in mom_eqs_new_nc],0.989319,0.989319,0.0,0.989319,0.0,0.0,0.0,0.0,0.0,6620000000,0.394260,1.057751,adcirc_og,[Loop at line 5910 in mom_eqs_new_nc],timestep.F,0x4d917b
[Loop at line 2365 in scal],0.740736,0.740736,0.0,0.740736,0.0,0.0,0.0,0.0,0.0,4957500000,0.388301,1.041949,adcirc_og,[Loop at line 2365 in scal],itpackv.F,0x52634c
[Loop at line 5961 in mom_eqs_new_nc],0.600407,0.600407,0.0,0.600407,0.0,0.0,0.0,0.0,0.0,1265000000,1.290514,1.090150,adcirc_og,[Loop at line 5961 in mom_eqs_new_nc],timestep.F,0x4d9326
