Function,CPU Time,CPU Time:Effective Time,CPU Time:Effective Time:Idle,CPU Time:Effective Time:Poor,CPU Time:Effective Time:Ok,CPU Time:Effective Time:Ideal,CPU Time:Effective Time:Over,CPU Time:Spin Time,CPU Time:Overhead Time,Instructions Retired,CPI Rate,CPU Frequency Ratio,Module,Function (Full),Source File,Start Address
[Loop at line 4015 in gwce_new],18.717875,18.717875,0.004009,18.713865,0.0,0.0,0.0,0.0,0.0,103080000000,0.449772,0.993092,adcirc_og,[Loop at line 4015 in gwce_new],timestep.F,0x4c2b82
[Loop at line 5354 in mom_eqs_new_nc],7.918561,7.918561,0.0,7.918561,0.0,0.0,0.0,0.0,0.0,47302500000,0.415464,0.995063,adcirc_og,[Loop at line 5354 in mom_eqs_new_nc],timestep.F,0x4d7602
[Loop at line 1939 in pjac],4.846360,4.846360,0.0,4.846360,0.0,0.0,0.0,0.0,0.0,22830000000,0.508651,0.960703,adcirc_og,[Loop at line 1939 in pjac],itpackv.F,0x521b71
[Outside any loop],4.219891,4.219891,0.012028,4.207863,0.0,0.0,0.0,0.0,0.0,16875000000,0.620741,0.995249,[Unknown],[Outside any loop],[Unknown],0x0
[Loop at line 3149 in timestep],1.018387,1.018387,0.0,1.018387,0.0,0.0,0.0,0.0,0.0,3395000000,0.718704,0.960630,adcirc_og,[Loop at line 3149 in timestep],timestep.F,0x4aac39
[Loop at line 1435 in apply2dbottomfriction],0.860016,0.860016,0.001002,0.859014,0.0,0.0,0.0,0.0,0.0,2685000000,0.827747,1.036131,adcirc_og,[Loop at line 1435 in apply2dbottomfriction],nodalattr.F,0x51a1d8
[Loop at line 5697 in mom_eqs_new_nc],0.732717,0.732717,0.0,0.732717,0.0,0.0,0.0,0.0,0.0,4642500000,0.406570,1.032832,adcirc_og,[Loop at line 5697 in mom_eqs_new_nc],timestep.F,0x4d8aa1
[Loop at line 2826 in sdot],0.707659,0.707659,0.0,0.707659,0.0,0.0,0.0,0.0,0.0,2205000000,0.839002,1.048159,adcirc_og,[Loop at line 2826 in sdot],itpackv.F,0x521ffe
[Loop at line 2826 in sdot],0.687612,0.687612,0.0,0.687612,0.0,0.0,0.0,0.0,0.0,2120000000,0.826651,1.021866,adcirc_og,[Loop at line 2826 in sdot],itpackv.F,0x5220ef
[Loop at line 2826 in sdot],0.670572,0.670572,0.0,0.670572,0.0,0.0,0.0,0.0,0.0,2145000000,0.819347,1.050822,adcirc_og,[Loop at line 2826 in sdot],itpackv.F,0x522076
[Loop at line 567 in itjcg],0.670572,0.670572,0.0,0.670572,0.0,0.0,0.0,0.0,0.0,4007500000,0.409233,0.980568,adcirc_og,[Loop at line 567 in itjcg],itpackv.F,0x5224a0
[Loop at line 5672 in mom_eqs_new_nc],0.603414,0.603414,0.0,0.603414,0.0,0.0,0.0,0.0,0.0,3260000000,0.496933,1.076412,adcirc_og,[Loop at line 5672 in mom_eqs_new_nc],timestep.F,0x4d85b6
[Loop at line 1977 in pmult],0.490149,0.490149,0.0,0.490149,0.0,0.0,0.0,0.0,0.0,2292500000,0.535442,1.004090,adcirc_og,[Loop at line 1977 in pmult],itpackv.F,0x5274d7
[Loop at line 1939 in pjac],0.471104,0.471104,0.0,0.471104,0.0,0.0,0.0,0.0,0.0,2162500000,0.527168,0.970213,adcirc_og,[Loop at line 1939 in pjac],itpackv.F,0x51e718
[Loop at line 2826 in sdot],0.439029,0.439029,0.0,0.439029,0.0,0.0,0.0,0.0,0.0,1440000000,0.812500,1.068493,adcirc_og,[Loop at line 2826 in sdot],itpackv.F,0x521f6a
[Loop at line 2826 in sdot],0.433015,0.433015,0.0,0.433015,0.0,0.0,0.0,0.0,0.0,1447500000,0.811744,1.087963,adcirc_og,[Loop at line 2826 in sdot],itpackv.F,0x521ef5
[Loop at line 2391 in scal],0.415975,0.415975,0.0,0.415975,0.0,0.0,0.0,0.0,0.0,2080000000,0.592548,1.187952,adcirc_og,[Loop at line 2391 in scal],itpackv.F,0x526aad
[Loop at line 2442 in unscal],0.399937,0.399937,0.0,0.399937,0.0,0.0,0.0,0.0,0.0,2135000000,0.463700,0.992481,adcirc_og,[Loop at line 2442 in unscal],itpackv.F,0x51f16c
[Loop at line 295 in timestep],0.382898,0.382898,0.0,0.382898,0.0,0.0,0.0,0.0,0.0,1922500000,0.481144,0.968586,adcirc_og,[Loop at line 295 in timestep],timestep.F,0x4a72c0
[Loop at line 4328 in gwce_new],0.352827,0.352827,0.001002,0.351825,0.0,0.0,0.0,0.0,0.0,2085000000,0.435252,1.031250,adcirc_og,[Loop at line 4328 in gwce_new],timestep.F,0x4c4710
[Loop at line 5910 in mom_eqs_new_nc],0.218512,0.218512,0.0,0.218512,0.0,0.0,0.0,0.0,0.0,1742500000,0.314204,1.004587,adcirc_og,[Loop at line 5910 in mom_eqs_new_nc],timestep.F,0x4d917b
[Loop at line 2365 in scal],0.162381,0.162381,0.0,0.162381,0.0,0.0,0.0,0.0,0.0,1302500000,0.318618,1.024691,adcirc_og,[Loop at line 2365 in scal],itpackv.F,0x52634c
[Loop at line 5961 in mom_eqs_new_nc],0.127298,0.127298,0.0,0.127298,0.0,0.0,0.0,0.0,0.0,377500000,0.794702,0.944882,adcirc_og,[Loop at line 5961 in mom_eqs_new_nc],timestep.F,0x4d9326
