Function,CPU Time,CPU Time:Effective Time,CPU Time:Effective Time:Idle,CPU Time:Effective Time:Poor,CPU Time:Effective Time:Ok,CPU Time:Effective Time:Ideal,CPU Time:Effective Time:Over,CPU Time:Spin Time,CPU Time:Overhead Time,Instructions Retired,CPI Rate,CPU Frequency Ratio,Module,Function (Full),Source File,Start Address
[Loop at line 4015 in gwce_new],1517.435870,1517.435870,0.002005,1517.433866,0.0,0.0,0.0,0.0,0.0,2941525000000,1.286624,0.999984,adcirc_og,[Loop at line 4015 in gwce_new],timestep.F,0x4c2b82
[Loop at line 5354 in mom_eqs_new_nc],795.327247,795.327247,0.002005,795.325243,0.0,0.0,0.0,0.0,0.0,1344295000000,1.475547,0.999956,adcirc_og,[Loop at line 5354 in mom_eqs_new_nc],timestep.F,0x4d7602
[Loop at line 1939 in pjac],649.600664,649.600664,0.0,649.600664,0.0,0.0,0.0,0.0,0.0,817220000000,1.982232,0.999830,adcirc_og,[Loop at line 1939 in pjac],itpackv.F,0x521b71
[Outside any loop],157.991332,157.991332,0.851997,157.139335,0.0,0.0,0.0,0.0,0.0,532950000000,0.740126,1.001009,[Unknown],[Outside any loop],[Unknown],0x0
[Loop at line 567 in itjcg],114.941423,114.941423,0.0,114.941423,0.0,0.0,0.0,0.0,0.0,141842500000,2.019476,0.999189,adcirc_og,[Loop at line 567 in itjcg],itpackv.F,0x5224a0
[Loop at line 5697 in mom_eqs_new_nc],55.938119,55.938119,0.0,55.938119,0.0,0.0,0.0,0.0,0.0,131530000000,1.061032,1.000287,adcirc_og,[Loop at line 5697 in mom_eqs_new_nc],timestep.F,0x4d8aa1
[Loop at line 1939 in pjac],49.310584,49.310584,0.0,49.310584,0.0,0.0,0.0,0.0,0.0,61947500000,1.985068,0.999858,adcirc_og,[Loop at line 1939 in pjac],itpackv.F,0x51e718
[Loop at line 1977 in pmult],49.070020,49.070020,0.0,49.070020,0.0,0.0,0.0,0.0,0.0,61927500000,1.977716,1.000715,adcirc_og,[Loop at line 1977 in pmult],itpackv.F,0x5274d7
[Loop at line 3149 in timestep],43.351616,43.351616,0.0,43.351616,0.0,0.0,0.0,0.0,0.0,86090000000,1.255663,0.999769,adcirc_og,[Loop at line 3149 in timestep],timestep.F,0x4aac39
[Loop at line 2391 in scal],39.628890,39.628890,0.0,39.628890,0.0,0.0,0.0,0.0,0.0,59107500000,1.672588,1.000228,adcirc_og,[Loop at line 2391 in scal],itpackv.F,0x526aad
[Loop at line 2442 in unscal],39.232962,39.232962,0.0,39.232962,0.0,0.0,0.0,0.0,0.0,57987500000,1.687734,1.000153,adcirc_og,[Loop at line 2442 in unscal],itpackv.F,0x51f16c
[Loop at line 2826 in sdot],32.752773,32.752773,0.0,32.752773,0.0,0.0,0.0,0.0,0.0,67735000000,1.205138,0.999266,adcirc_og,[Loop at line 2826 in sdot],itpackv.F,0x5220ef
[Loop at line 2826 in sdot],32.712679,32.712679,0.0,32.712679,0.0,0.0,0.0,0.0,0.0,67790000000,1.203791,1.000184,adcirc_og,[Loop at line 2826 in sdot],itpackv.F,0x522076
[Loop at line 5672 in mom_eqs_new_nc],32.374887,32.374887,0.0,32.374887,0.0,0.0,0.0,0.0,0.0,93477500000,0.864245,1.000495,adcirc_og,[Loop at line 5672 in mom_eqs_new_nc],timestep.F,0x4d85b6
[Loop at line 2826 in sdot],31.154025,31.154025,0.0,31.154025,0.0,0.0,0.0,0.0,0.0,67747500000,1.146795,0.999871,adcirc_og,[Loop at line 2826 in sdot],itpackv.F,0x521ffe
[Loop at line 1435 in apply2dbottomfriction],29.585348,29.585348,0.0,29.585348,0.0,0.0,0.0,0.0,0.0,79680000000,0.921091,0.994613,adcirc_og,[Loop at line 1435 in apply2dbottomfriction],nodalattr.F,0x51a1d8
[Loop at line 2826 in sdot],28.877689,28.877689,0.001002,28.876687,0.0,0.0,0.0,0.0,0.0,59887500000,1.203548,1.000729,adcirc_og,[Loop at line 2826 in sdot],itpackv.F,0x521f6a
[Loop at line 2826 in sdot],27.544564,27.544564,0.0,27.544564,0.0,0.0,0.0,0.0,0.0,59855000000,1.146771,0.999127,adcirc_og,[Loop at line 2826 in sdot],itpackv.F,0x521ef5
[Loop at line 5910 in mom_eqs_new_nc],23.925080,23.925080,0.0,23.925080,0.0,0.0,0.0,0.0,0.0,46462500000,1.284315,1.000000,adcirc_og,[Loop at line 5910 in mom_eqs_new_nc],timestep.F,0x4d917b
[Loop at line 295 in timestep],23.011940,23.011940,0.005012,23.006928,0.0,0.0,0.0,0.0,0.0,52300000000,1.097084,0.999695,adcirc_og,[Loop at line 295 in timestep],timestep.F,0x4a72c0
[Loop at line 4328 in gwce_new],15.248743,15.248743,0.0,15.248743,0.0,0.0,0.0,0.0,0.0,58947500000,0.636499,0.986525,adcirc_og,[Loop at line 4328 in gwce_new],timestep.F,0x4c4710
[Loop at line 5961 in mom_eqs_new_nc],9.521318,9.521318,0.0,9.521318,0.0,0.0,0.0,0.0,0.0,9047500000,2.633048,1.003158,adcirc_og,[Loop at line 5961 in mom_eqs_new_nc],timestep.F,0x4d9326
[Loop at line 2365 in scal],8.128052,8.128052,0.0,8.128052,0.0,0.0,0.0,0.0,0.0,34860000000,0.579246,0.996054,adcirc_og,[Loop at line 2365 in scal],itpackv.F,0x52634c
[Loop at line 2451 in unscal],7.474520,7.474520,0.0,7.474520,0.0,0.0,0.0,0.0,0.0,34847500000,0.536050,1.002012,adcirc_og,[Loop at line 2451 in unscal],itpackv.F,0x51f4ac
[Loop at line 3321 in timestep],6.406016,6.406016,0.0,6.406016,0.0,0.0,0.0,0.0,0.0,21295000000,0.752289,1.002660,adcirc_og,[Loop at line 3321 in timestep],timestep.F,0x4ab6ee
[Loop at line 4557 in gwce_new],4.887456,4.887456,0.0,4.887456,0.0,0.0,0.0,0.0,0.0,4232500000,2.877141,0.998975,adcirc_og,[Loop at line 4557 in gwce_new],timestep.F,0x4c5469
[Loop at line 2826 in sdot],4.660925,4.660925,0.0,4.660925,0.0,0.0,0.0,0.0,0.0,9680000000,1.196798,0.996559,adcirc_og,[Loop at line 2826 in sdot],itpackv.F,0x52729b
[Loop at line 2826 in sdot],4.651904,4.651904,0.0,4.651904,0.0,0.0,0.0,0.0,0.0,9687500000,1.190710,0.994182,adcirc_og,[Loop at line 2826 in sdot],itpackv.F,0x527984
[Loop at line 659 in peror],4.538639,4.538639,0.0,4.538639,0.0,0.0,0.0,0.0,0.0,3710000000,3.059973,1.002871,adcirc_og,[Loop at line 659 in peror],itpackv.F,0x527803
[Loop at line 647 in peror],4.429382,4.429382,0.0,4.429382,0.0,0.0,0.0,0.0,0.0,3267500000,3.397858,1.004979,adcirc_og,[Loop at line 647 in peror],itpackv.F,0x527143
[Loop at line 4341 in gwce_new],4.143713,4.143713,0.0,4.143713,0.0,0.0,0.0,0.0,0.0,9690000000,1.063467,0.997097,adcirc_og,[Loop at line 4341 in gwce_new],timestep.F,0x4c481a
[Loop at line 5672 in mom_eqs_new_nc],3.836994,3.836994,0.0,3.836994,0.0,0.0,0.0,0.0,0.0,9372500000,1.006402,0.985632,adcirc_og,[Loop at line 5672 in mom_eqs_new_nc],timestep.F,0x4d84a6
[Loop at line 2912 in scopy],3.613470,3.613470,0.0,3.613470,0.0,0.0,0.0,0.0,0.0,6195000000,1.447538,0.995007,adcirc_og,[Loop at line 2912 in scopy],itpackv.F,0x524a00
[Loop at line 2312 in scal],3.529273,3.529273,0.0,3.529273,0.0,0.0,0.0,0.0,0.0,27192500000,0.324446,1.002272,adcirc_og,[Loop at line 2312 in scal],itpackv.F,0x52603e
[Loop at line 1570 in timestep],3.391951,3.391951,0.0,3.391951,0.0,0.0,0.0,0.0,0.0,1760000000,4.812500,1.001182,adcirc_og,[Loop at line 1570 in timestep],timestep.F,0x4a9740
[Loop at line 3321 in timestep],3.379923,3.379923,0.0,3.379923,0.0,0.0,0.0,0.0,0.0,17375000000,0.485612,1.000890,adcirc_og,[Loop at line 3321 in timestep],timestep.F,0x4ab6b4
[Loop at line 2376 in scal],3.247612,3.247612,0.0,3.247612,0.0,0.0,0.0,0.0,0.0,2257500000,3.599114,1.003086,adcirc_og,[Loop at line 2376 in scal],itpackv.F,0x5265a0
[Loop at line 2434 in unscal],3.052154,3.052154,0.0,3.052154,0.0,0.0,0.0,0.0,0.0,2280000000,3.342105,1.000985,adcirc_og,[Loop at line 2434 in unscal],itpackv.F,0x51ef60
[Loop at line 2912 in scopy],2.969962,2.969962,0.0,2.969962,0.0,0.0,0.0,0.0,0.0,4952500000,1.488642,0.995275,adcirc_og,[Loop at line 2912 in scopy],itpackv.F,0x528100
